r_parataxis,id,title,author1,author_gender,category,frmt1,frmt2
11815,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
11793,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
11766,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
11746,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
11623,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
11543,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
11467,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
11397,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
11351,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
11348,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
11343,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
11247,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
11224,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
11220,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
11142,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
11120,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
11025,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
11013,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
10996,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
10958,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
