p_mi,id,title,author1,author_gender,category,frmt1,frmt2
54110,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
54094,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
53954,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
53858,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
53698,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
53667,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
53481,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
53248,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
52995,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
52968,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
52862,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
52775,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
52680,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
52622,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
52486,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
51917,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
51898,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
51849,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
51752,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
51335,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
51285,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
51114,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
51018,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
50913,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
50773,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
50677,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
50518,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
50387,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
50305,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
50195,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
50171,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
50073,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
