r_root,id,title,author1,author_gender,category,frmt1,frmt2
75123,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
74838,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
74729,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
74647,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
74634,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
74353,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
74298,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
74066,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
73765,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
73484,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
73274,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
73090,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
72683,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
72459,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
72406,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
72387,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
71860,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
71363,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
70812,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
70646,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
70494,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
70470,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
70417,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
69846,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
69836,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
69455,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
68964,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
68679,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
68625,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
68537,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
68278,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
68162,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
68118,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
67934,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
67907,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
67840,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
67832,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
67786,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
67496,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
67371,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
66679,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
66479,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
66343,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
66275,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
66229,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
66153,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
66037,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
65782,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
65573,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
65397,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
65379,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
64822,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
64769,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
64724,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
64648,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
64556,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
64473,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
64305,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
64063,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
64000,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
63934,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
62803,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
62733,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
62599,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
62542,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
62531,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
62347,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
62237,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
60407,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
60303,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
60289,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
60074,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
59812,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
59337,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
59248,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
59139,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
58528,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
58469,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
58444,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
58396,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
57869,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
57685,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
57595,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
56839,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
56300,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
55995,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
54420,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
52445,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
52396,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
51895,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
