wc,id,title,author1,author2,author_gender,category,frmt1,frmt2
128861,SvB_BS_261,Lazarus,"Kepler, Lars",,2,CRIME,hb,both
128530,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both
128113,SvB_BS_284,Höstdåd,"Motte, Anders de la",,M,CRIME,pb,sell
126927,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",,M,OTHER,hb,sell
126428,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,pb,sell
125944,SvB_BS_161,Sonen,"Nesbø, Jo",,M,CRIME,both,sell
125139,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",,M,OTHER,hb,sell
125004,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell
123196,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",,F,OTHER,pb,sell
122960,SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell
122578,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",,F,OTHER,hb,sell
122252,SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell
122169,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",,F,OTHER,pb,sell
121699,SvB_BS_246,Toner i natten,"Moyes, Jojo",,F,OTHER,both,both
120777,SvB_BS_216,Björnstad,"Backman, Fredrik",,M,OTHER,pb,sell
120226,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",,F,CRIME,pb,sell
119996,bstream_021,Sov du lilla videung,"Börjlind, Rolf",Cilla Börjlind,2,CRIME,no,strm
119240,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",,F,OTHER,both,both
119130,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",,F,CRIME,no,strm
118136,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",,F,CRIME,no,strm
117614,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",,F,CRIME,hb,both
117508,bstream_035,Se till mig som liten är,"Öhrlund, Dag",,M,CRIME,no,strm
117227,SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell
116640,bstream_051,Allt jag fått lära mig,"Westover, Tara",,F,OTHER,no,strm
116471,bstream_020,Välkommen hem,"Schulman, Ninni",,F,CRIME,no,strm
116281,SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell
116035,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm
114932,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
114861,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",,F,CRIME,pb,sell
114412,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",,F,CRIME,pb,sell
112316,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell
112033,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell
111664,SvB_BS_273,1793,"Natt och Dag, Niklas",,M,CRIME,pb,sell
111124,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell
109836,bstream_011,Kärlek sökes,"Hjulström, Carin",,F,OTHER,no,strm
109557,SvB_BS_165,De underkända,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
109260,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",,M,CRIME,hb,both
108423,SvB_BS_293,Löparna,"Tokarczuk, Olga",,F,PRESTIGE,hb,sell
107859,SvB_BS_180,Etthundra mil,"Moyes, Jojo",,F,OTHER,pb,sell
107011,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",,M,CRIME,pb,both
105427,bstream_037,Hämndens pris,"Lewin, Erik",,M,CRIME,no,strm
105000,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",,F,CRIME,both,both
104980,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell
104962,SvB_BS_267,I fel sällskap,"Sten, Viveca",,F,CRIME,hb,sell
104596,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",,F,OTHER,pb,sell
104363,bstream_043,Dotter saknad,"Jansson, Anna",,F,CRIME,no,strm
103717,SvB_BS_271,Tre timmar,"Roslund, Anders",,M,CRIME,both,sell
103479,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",,M,CRIME,no,strm
103212,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",,M,CRIME,no,strm
102524,SvB_BS_280,Strandcaféet,"Diamond, Lucy",,F,OTHER,pb,sell
102476,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",,F,CRIME,pb,sell
102427,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
102340,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",,F,OTHER,both,sell
101971,bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm
