r_nsubj,id,title,author1,author_gender,category,frmt1,frmt2
113236,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
113132,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
113119,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
113107,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
112839,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
112833,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
112632,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
112525,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
112411,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
112273,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
112168,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
112090,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
111962,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
111878,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
111797,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
111691,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
111580,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
111492,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
111420,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
111390,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
111170,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
110523,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
110414,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
110408,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
110231,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
110197,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
110150,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
110128,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
110060,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
109590,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
109329,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
109295,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
109294,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
