p_hp,id,title,author1,author_gender,category,frmt1,frmt2
11971,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
11930,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
11905,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
11859,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
11856,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
11849,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
11833,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
11800,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
11790,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
11772,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
11770,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
11758,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
